	date	sentence
40	(4, 18, 2020)	Dans le Nord, des tablettes distribuées dans les Ehpad pour lutter contre la solitude
41	(4, 18, 2020)	Coronavirus: 14 morts en 24h dans le Rhône, le nombre de patients en réanimation en baisse
42	(4, 18, 2020)	Coronavirus: 151 morts en 24h en Île-de-France, le nombre de personnes en réanimation poursuit sa baisse
43	(4, 18, 2020)	Tourcoing, Dunkerque, Lille: les villes du Nord se mobilisent pour fabriquer des masques
44	(4, 18, 2020)	Versailles: deux ados tentent de s'introduire dans le château par les canalisations
45	(4, 18, 2020)	A Paris, les écologistes lancent une pétition pour la réouverture des marchés
46	(4, 18, 2020)	Castres: trois hommes blessés à la machette
47	(4, 18, 2020)	"Déconfinement: Martine Aubry ne ""voit pas"" comment rouvrir les écoles le 11 mai"
48	(4, 18, 2020)	"Coronavirus: Martine Aubry juge ""difficile"" la tenue de la Braderie de Lille"
49	(4, 18, 2020)	Coronavirus: 15 à 20 minutes de soleil chaque jour pour renforcer le système immunitaire
50	(4, 18, 2020)	En Floride, il menace de tirer sur quiconque n'a pas de masque dans un supermarché
51	(4, 17, 2020)	"Confinement: Donald Trump appelle à ""libérer"" des Etats gouvernés par des démocrates"
52	(4, 17, 2020)	Royaume-Uni: à 99 ans, un vétéran de l'armée collecte 20 millions de livres pour les soignants
53	(4, 17, 2020)	Grèce: heurts entre police et néo-nazis voulant célébrer Pâques malgré le virus
54	(4, 17, 2020)	Lorraine: une mutinerie éclate dans une prison et provoque un incendie
55	(4, 17, 2020)	 Résultat Euromillions: le tirage du vendredi 17 avril 2020
56	(4, 17, 2020)	"Coronavirus: Mélenchon dénonce la ""clochardisation sanitaire"" de la France"
57	(4, 17, 2020)	Confinement: hausse des plaintes pour violences conjugales depuis début avril
58	(4, 17, 2020)	"Mort de Christophe: Macron salue un ""artiste singulier"" aux ""fulgurances poétiques"""
59	(4, 17, 2020)	Coronavirus: entre le 1er mars et le 14 avril, un mort sur deux était un résident d'EHPAD
60	(4, 17, 2020)	Gard: une conductrice, ivre, prend l'autoroute A9 à contresens sur 30 km
61	(4, 17, 2020)	Coronavirus: 1081 marins testés positifs sur le porte-avions Charles de Gaulle
62	(4, 17, 2020)	Coronavirus: 847 morts supplémentaires au Royaume-Uni, 14.576 au total
63	(4, 17, 2020)	"Seine-et-Marne: un ""feu volontaire"" sans doute à l'origine de  l'incendie meurtrier à Montereau-Fault-Yonne"
64	(4, 17, 2020)	Norvège: la fonte d'un glacier permet la découverte de reliques de l'époque des Vikings
65	(4, 17, 2020)	Escroquerie à la vente de masques FFP2: deux Françaises arrêtées en Israël
66	(4, 17, 2020)	En pleine pandémie du coronavirus, l'équipage de l'ISS de retour sur Terre
67	(4, 17, 2020)	Espagne: près de 19.500 morts liés au coronavirus dans le pays
68	(4, 17, 2020)	"Lille lance l'opération ""Des masques pour tous"" et en appelle aux couturiers bénévoles"
69	(4, 17, 2020)	Coronavirus: Pékin appelle à l'unité après les critiques de Macron
70	(4, 17, 2020)	Contre les virus, le papier mieux que le sèche-main après s'être lavé les mains
71	(4, 17, 2020)	États-Unis: des morts du virus empilés dans une maison de retraite du New Jersey
72	(4, 16, 2020)	Il cache un million d'euros de cocaïne parmi des masques et tente de franchir le tunnel sous la Manche, l'individu arrêté
73	(4, 16, 2020)	Le ministère des Armées dément avoir refusé d'arrêter mi-mars la mission du Charles de Gaulle
74	(4, 16, 2020)	Coronavirus: plus de 19 000 morts en Espagne, le bilan remis en question
75	(4, 16, 2020)	L'Académie de médecine déconseille le confinement obligatoire des personnes fragiles après le 11 mai
76	(4, 16, 2020)	"Coronavirus: ""baisse significative"" du nombre de nouveaux cas chez les professionnels de l'AP-HP"
77	(4, 16, 2020)	Coronavirus: 14 morts en 24h dans les hôpitaux du Rhône, le nombre de personnes hospitalisées en légère baisse
78	(4, 16, 2020)	Coronavirus: la barre des 1000 morts à l'hôpital franchie dans les Hauts-de-France
79	(4, 16, 2020)	Coronavirus: 525 morts en 24h en Italie, le nombre de personnes en réanimation continue de baisser
80	(4, 16, 2020)	Coronavirus: un nouveau centre d'accueil funéraire temporaire ouvre à Wissous, dans l'Essonne
81	(4, 16, 2020)	Un homme empêché d'aller voir son père mourant: la gendarmerie exprime des regrets
82	(4, 16, 2020)	Royaume-Uni: le confinement prolongé d'au moins 3 semaines
83	(4, 16, 2020)	La Nasa découvre une exoplanète comparable en de nombreux points à la Terre 
84	(4, 16, 2020)	Coronavirus: 190 morts en 24h en Île-de-France, le nombre de personnes en réanimation poursuit sa baisse
85	(4, 16, 2020)	Royaume-Uni: une patiente de 106 ans guérit du coronavirus
86	(4, 16, 2020)	Etats-Unis: la barre des 30.000 morts liés au coronavirus franchie
87	(4, 16, 2020)	"Tchernobyl: l'incendie maîtrisé autour de la centrale, les fumées ""sans conséquence sanitaire"""
88	(4, 16, 2020)	Les postillons, l'arme fatale du coronavirus
89	(4, 16, 2020)	"""J'espère que l'enquête sera transparente"": l'inquiétude des familles des marins du Charles-de-Gaulle"
90	(4, 16, 2020)	Coronavirus: faute de revenus, un zoo allemand envisage de tuer des animaux pour en nourrir d'autres
91	(4, 16, 2020)	Confinement: Valérie Pécresse annonce le remboursement de 100 euros aux abonnés Navigo
92	(4, 16, 2020)	"La LPO invite les ""confinés"" à compter les oiseaux dans leur jardin"
93	(4, 16, 2020)	Hauts-de-France: la région commande 6 millions de masques pour équiper tous les habitants
94	(4, 16, 2020)	Bretagne: attention aux faux billets de 20 euros dans les Côtes-d'Armor
95	(4, 16, 2020)	Calais: un homme de 27 ans grièvement blessé par balle
96	(4, 16, 2020)	Coronavirus: 300 hôtels du groupe Accor volontaires pour accueillir des malades asymptomatiques
97	(4, 16, 2020)	"Jean-Claude Mailly: ""Il ne faudrait pas qu’il y ait plus de morts par la crise économique que par le Covid"""
98	(4, 16, 2020)	"Pour Gérard Collomb, il sera ""très difficile, voire impossible"", d'ouvrir toutes les écoles de Lyon le 11 mai"
99	(4, 16, 2020)	Ile-de-France: le sport de nouveau autorisé en journée sauf à Paris et près du bois de Vincennes
100	(4, 16, 2020)	L'envoi des chèques d'aide aux Américains retardé car le nom de Trump sera inscrit dessus?
101	(4, 15, 2020)	Coronavirus: à Marcq-en-Barœul, des douches mises à disposition pour éviter de contaminer ses proches
102	(4, 15, 2020)	Au Pérou, un bébé naît contaminé par le Covid-19
103	(4, 15, 2020)	La ville de Lyon lance un service de livraison de paniers alimentaires à domicile pour les seniors
104	(4, 15, 2020)	Seine-et-Marne: une mère et son enfant meurent dans un incendie, dix blessés légers
105	(4, 15, 2020)	Haute-Loire: enquête ouverte après le rappel d'une solution hydroalcoolique jugée non-conforme
106	(4, 15, 2020)	Résultat Loto: le tirage du mercredi 15 avril 2020
107	(4, 15, 2020)	Seine-Saint-Denis: un homme armé d'un couteau tué par des policiers
108	(4, 15, 2020)	Paris: des échelonnements de loyers impayés possibles pour les locataires de logements sociaux
109	(4, 15, 2020)	Coronavirus: la Marche des Fiertés, prévue fin juin à Paris, reportée
110	(4, 15, 2020)	Coronavirus: 55 morts en 24h dans les Hauts-de-France, le nombre de patients en réanimation en baisse
111	(4, 15, 2020)	Coronavirus: la contagion possible avant l'apparition des premiers symptômes, selon une étude
112	(4, 15, 2020)	Coronavirus: plus d'un tiers des marins du porte-avions français Charles de Gaulle contaminés
113	(4, 15, 2020)	Météo: le premier trimestre de l'année a été le plus chaud jamais enregistré en Europe
114	(4, 15, 2020)	Mort après un contrôle du confinement à Béziers: ouverture d'une information judiciaire
115	(4, 15, 2020)	Coronavirus: 19 morts en 24 heures dans le Rhône, le nombre d'hospitalisations en légère baisse
116	(4, 15, 2020)	Italie: 578 morts supplémentaires liés au Covid-19 ces dernières 24 heures
117	(4, 15, 2020)	Infirmière chassée de son logement par crainte du coronavirus: ses propriétaires jugés en juin
118	(4, 15, 2020)	Coronavirus: 202 morts en 24h en Île-de-France, 113 personnes de moins en réanimation
119	(4, 15, 2020)	Hautes-Pyrénées: un hélicoptère militaire s'écrase, deux morts et plusieurs blessés
120	(4, 15, 2020)	"L'OMS ""regrette"" la décision de Trump de suspendre le financement de l'organisation"
121	(4, 15, 2020)	"Coronavirus: à Bobigny, une unité inédite créée ""en quelques jours"" par des soignants"
122	(4, 15, 2020)	"Coronavirus: quarante députés pour une ""reconnaissance nationale"" des enfants de soignants décédés"
123	(4, 15, 2020)	Seine-Maritime: un wallaby échappé d'un cirque retrouvé en bord de route
124	(4, 15, 2020)	Euro 2016: deux Russes bientôt jugés 4 ans après l'agression ultra-violente d'un Anglais à Marseille
125	(4, 15, 2020)	"Elle voulait ""garder la forme"", une rameuse australienne bat un record du monde en confinement"
126	(4, 15, 2020)	Epinay-sur-Seine: important incendie dans un immeuble d'habitation, un enfant de 2 ans en urgence absolue
127	(4, 15, 2020)	Coronavirus: près de 10.000 détenus en moins dans les prisons françaises
128	(4, 15, 2020)	Isoler les malades du coronavirus dans des hôtels? L'idée fait son chemin en France
129	(4, 15, 2020)	Seine-Saint-Denis: un policier hors service tire sur son voisin
130	(4, 15, 2020)	Coronavirus: plus d'un million de cas officiellement recensés en Europe
131	(4, 15, 2020)	Coronavirus: un médecin compose une chanson pour remercier les Français de leur soutien
132	(4, 15, 2020)	"Notre-Dame, un an après: Macron remercie ""ceux qui l'ont sauvée"" et ""ceux qui la reconstruisent"""
133	(4, 15, 2020)	Coronavirus: les ministres néo-zélandais baissent leur salaire de 20%, par solidarité avec les habitants
134	(4, 15, 2020)	États-Unis: la distanciation sociale sans doute nécessaire jusqu'en 2022, selon des chercheurs
135	(4, 14, 2020)	L'ambassadeur de Chine à Paris convoqué par Jean-Yves Le Drian pour des propos liés au coronavirus
136	(4, 14, 2020)	Coronavirus: près de 1.500 morts dans les établissements pour personnes âgées du Grand Est
137	(4, 14, 2020)	 Résultat Euromillions: le tirage du mardi 14 avril 2020
138	(4, 14, 2020)	Seine-et-Marne: un homme interpellé après avoir refusé un contrôle et percuté une voiture de police
139	(4, 14, 2020)	La région Hauts-de-France appelle à la solidarité des consommateurs pour aider les producteurs de Maroilles
140	(4, 14, 2020)	Coronavirus: 16 morts en 24 heures dans le Rhône, le nombre d'hospitalisations en légère baisse
141	(4, 14, 2020)	Etats-Unis: 778 morts du coronavirus en 24h dans l'État de New York
142	(4, 14, 2020)	"Réouverture des écoles à partir du 11 mai: une décision jugée ""déraisonnable"" par Marine Le Pen"
143	(4, 14, 2020)	Coronavirus: 47 morts en 24h dans les Hauts-de-France, le nombre de patients en réanimation toujours en baisse
144	(4, 14, 2020)	Coronavirus: 602 morts en 24 heures en Italie, le nombre de personnes en réanimation continue de baisser
145	(4, 14, 2020)	Paris: 64 personnes verbalisées pour non-respect du confinement dans la nuit de lundi à mardi
146	(4, 14, 2020)	Présidentielle américaine: Barack Obama annonce son soutien à son ancien vice-président Joe Biden
147	(4, 14, 2020)	Bouteilles à oxygène et chloroquine: les députés socialistes réclament des nationalisations
148	(4, 14, 2020)	" Déconfinement: Philippe promet un ""plan complet largement avant le 11 mai""À propos des écoles, dont le chef de l'État a indiqué qu'elles pourraient rouvrir ""progressivement"" à partir..."
149	(4, 14, 2020)	Italie: une sexagénaire promène sa tortue à Rome et écope de 400 euros d'amende
150	(4, 14, 2020)	À 99 ans, un Britannique collecte plus d'un million de livres pour les soignants
151	(4, 14, 2020)	Coronavirus: le Main Square Festival d'Arras reporté en 2021
152	(4, 14, 2020)	"""N'ayons pas peur des joggeurs"": Castaner réagit au durcissement des règles du confinement à Paris"
153	(4, 14, 2020)	"Coronavirus: le déconfinement le 11 mai ""n'est pas une certitude mais un objectif"", précise Castaner"
154	(4, 14, 2020)	L'allocution de Macron sur le déconfinement a réuni 36,7 millions de téléspectateurs, un record absolu
155	(4, 14, 2020)	La zone de Tchernobyl toujours ravagée par un important feu de forêt
156	(4, 13, 2020)	"""C'est tout sauf sérieux"": la réaction des syndicats d'enseignants à la réouverture progressive des écoles "
157	(4, 13, 2020)	États-Unis: Bernie Sanders annonce son soutien à Joe Biden pour la présidentielle
158	(4, 13, 2020)	Allocution d'Emmanuel Macron: l'opposition s'inquiète des modalités du déconfinement
159	(4, 13, 2020)	"Coronavirus: Macron reconnaît que la France n'était ""pas assez préparée"" "
160	(4, 13, 2020)	Coronavirus: 33 morts en 24h dans les Hauts-de-France, le nombre de personnes en réanimation toujours en légère baisse
161	(4, 13, 2020)	Coronavirus: 211 morts en 24h en Île-de-France, le nombre de patients en réanimation poursuit sa légère baisse
162	(4, 13, 2020)	Covid-19: la Haute-Corse, premier département à ne plus avoir de patient en réanimation
163	(4, 13, 2020)	Italie: le pays passe le cap des 20.000 morts liés au coronavirus
164	(4, 13, 2020)	Coronavirus: dix morts en 24h dans le Rhône, le nombre de personnes hospitalisées en légère hausse
165	(4, 13, 2020)	Selon l'OMS, le coronavirus est 10 fois plus mortel que le H1N1
166	(4, 13, 2020)	Confinement: des oeuvres d'art aux balcons berlinois
167	(4, 13, 2020)	Morbihan: une femme verbalisée pour s'être baignée en confinement à Quiberon
168	(4, 13, 2020)	Coronavirus: 717 morts de plus en 24 heures au Royaume-Uni
169	(4, 13, 2020)	Nancy: victime de violences conjugales, elle se présente à la pharmacie pour alerter la police
170	(4, 13, 2020)	Coronavirus: avec l'arrivée des pollens, les allergiques s'interrogent
171	(4, 13, 2020)	Coronavirus: l'Inserm alerte sur les risques d'un déconfinement sans tests ni isolements
172	(4, 13, 2020)	Coronavirus: la ville de Mions va distribuer 20.000 masques en tissu à ses habitants
173	(4, 13, 2020)	Confinement: la population de La Baule en forte hausse, le maire dénonce des incivilités 
174	(4, 13, 2020)	Essonne: une maire appelle ses habitants à dénoncer les personnes qui ne respectent pas le confinement
175	(4, 12, 2020)	"Gym Covic"", ""Limitrophes"" et ""The Covoice 19"": des artistes lyonnais créent Confinage TV"
176	(4, 12, 2020)	Lyon: la Métropole lance un appel aux couturières et couturiers pour fabriquer des masques
177	(4, 12, 2020)	Val-de-Marne: des daims aperçus en train de se promener à Boissy-Saint-Léger
178	(4, 12, 2020)	Coronavirus: 34 morts en 24h à l'hôpital dans les Hauts-de-France, le nombre de patients en réanimation stagne
179	(4, 12, 2020)	Coronavirus: 431 morts en Italie en 24h, le chiffre le plus faible de ces trois dernières semaines
180	(4, 12, 2020)	Coronavirus: 153 morts en 24h dans les hôpitaux d'Île-de-France, baisse du nombre de patients en réanimation
181	(4, 12, 2020)	Un avion de rapatriement d'Air France endommagé par des tirs au Congo-Brazzaville
182	(4, 12, 2020)	Coronavirus: 5 morts en 24 heures dans les hôpitaux du Rhône
183	(4, 12, 2020)	"Coronavirus: ""On a laissé mourir nos vieux"", dénonce Eric Ciotti"
184	(4, 12, 2020)	Confiné dans sa résidence secondaire, un député LaREM se dit visé par des menaces de mort
185	(4, 12, 2020)	"Coronavirus: Xavier Bertrand appelle les responsables politiques à ""ne pas trop la ramener"""
186	(4, 12, 2020)	En Camargue, un parc zoologique dénombre 1000 flamants roses de plus qu'en temps normal
187	(4, 12, 2020)	Une majorité de Français contre une application obligatoire de type stopCovid sur leur téléphone
188	(4, 12, 2020)	Retraites: vers une mise à l'écart de la réforme
189	(4, 12, 2020)	"Coronavirus: dix-neuf présidents de départements PS réclament un ""revenu de base"" universel"
190	(4, 12, 2020)	La confiance dans le gouvernement pour faire face au virus s'émousse
191	(4, 11, 2020)	Pouilles: 200 fidèles violent le confinement pour une prière du Vendredi Saint
192	(4, 11, 2020)	"Coronavirus: Martin Hirsch souhaite ""mobiliser plusieurs milliers de volontaires"""
193	(4, 11, 2020)	Coronavirus: l'Allemagne condamne des actes anti-français dans les zones frontalières
194	(4, 11, 2020)	Lyon: un nouveau centre d’hébergement d’urgence pour les femmes en situation de détresse
195	(4, 11, 2020)	Coronavirus: 44 morts en 24h à l'hôpital dans les Hauts-de-France, baisse du nombre de patients en réanimation
196	(4, 11, 2020)	Coronavirus: 10 morts en 24 heures dans les hôpitaux du Rhône
197	(4, 11, 2020)	"La pandémie ""n'est pas une guerre"" mais un ""test d'humanité"": le président allemand prend le contre-pied de Macron"
198	(4, 11, 2020)	Coronavirus: 18.860 morts aux Etats-Unis, 500.000 cas positifs
199	(4, 11, 2020)	Coronavirus: 115 morts à l'hôpital en 24h en Île-de-France, le nombre de patients en réanimation en baisse
200	(4, 11, 2020)	Yvelines : un pompier volontaire meurt du coronavirus
201	(4, 11, 2020)	Coronavirus: 917 morts supplémentaires au Royaume-Uni, presque 10.000 au total
202	(4, 11, 2020)	Covid-19: le lourd tribut des professionnels de santé en France
203	(4, 11, 2020)	Des marchands de journaux bientôt équipés en masques
204	(4, 11, 2020)	Castaner reconnaît la réquisition de masques à l'aéroport de Bâle-Mulhouse
205	(4, 11, 2020)	Parmi les premiers foyers en France, la Bretagne résiste à la propagation du virus
206	(4, 11, 2020)	Coronavirus: une reprise partielle et échelonnée du travail actée à l'usine Toyota d'Onnaing à partir du 20 avril
207	(4, 11, 2020)	Indonésie: le volcan Anak Krakatau se réveille et entre en éruption
208	(4, 11, 2020)	"Le confinement engendre une baisse ""spectaculaire"" des vibrations de la Terre"
209	(4, 11, 2020)	Coronavirus: naissance d'une plateforme pour prêter son vélo aux soignants
210	(4, 11, 2020)	Sète: le maire voulait contrôler l'entrée des non-Sètois dans le ville, le préfet casse le dispositif
211	(4, 10, 2020)	"""C'est surréaliste"": le témoignage d'une astronaute avant de revenir sur Terre"
212	(4, 10, 2020)	Coronavirus: récit d'une pandémie qui a déjà fait 100.000 morts et qui poursuit ses ravages
213	(4, 10, 2020)	Un épisode de pollution aux particules fines affecte le Nord et le Pas-de-Calais malgré le confinement
214	(4, 10, 2020)	Coronavirus: 47 morts en 24h à l'hôpital dans les Hauts-de-France, baisse du nombre de patients en réanimation
215	(4, 10, 2020)	Résultat Euromillions: le tirage du vendredi 10 avril 2020
216	(4, 10, 2020)	"Trump promet une ""annonce"" sur le financement de l'OMS"
217	(4, 10, 2020)	Coronavirus: 13 morts en 24 heures dans les hôpitaux du Rhône
218	(4, 10, 2020)	Coronavirus: 240 morts à l'hôpital en 24h en Île-de-France, le nombre de patients en réanimation stagne
219	(4, 10, 2020)	"Coronavirus: l'OMS craint ""une résurgence mortelle"" de la pandémie en cas de déconfinement hâtif"
220	(4, 10, 2020)	En Thaïlande, des bébés sont équipés de masques de protection contre le coronavirus
221	(4, 10, 2020)	Coronavirus: l'ancienne ministre Agnès Buzyn a renfilé sa blouse
222	(4, 10, 2020)	Une centaine d'effets indésirables en lien avec des médicaments contre le Covid-19, dont la chloroquine
223	(4, 10, 2020)	Monaco: le confinement prolongé jusqu'au 3 mai
224	(4, 10, 2020)	Coronavirus: mort de Philippe Pesteil, candidat LaREM aux dernières Municipales à Meyzieu
225	(4, 10, 2020)	Coronavirus: des touristes français repérés en Espagne, malgré le confinement des deux pays
226	(4, 10, 2020)	Morgue provisoire de Rungis: l'opérateur OGF prendra en charge les frais des familles
227	(4, 10, 2020)	Coronavirus: 50 cas de contamination à bord du porte-avions Charles-de-Gaulle
228	(4, 10, 2020)	Coronavirus: la Belgique passe la barre des 3000 morts
229	(4, 10, 2020)	Coronavirus: des dépistages dans tous les Ehpad en Auvergne-Rhône-Alpes
230	(4, 10, 2020)	Coronavirus: un test salivaire pour un dépistage rapide est à l’essai
231	(4, 10, 2020)	"Covid-19: Xavier Bertrand appelle à ""soutenir"" les opérateurs transmanche"
232	(4, 10, 2020)	24,9°C jeudi après-midi: un record de chaleur à Lille pour un début de mois d'avril
233	(4, 10, 2020)	Coronavirus: 1783 morts aux Etats-Unis au cours des dernières 24 heures
234	(4, 9, 2020)	Coronavirus: 9 morts recensés en 24 heures dans le Rhône
235	(4, 9, 2020)	Réquisition des chasseurs pour faire respecter le confinement: la préfecture de Seine-et-Marne rétropédale  
236	(4, 9, 2020)	Coronavirus: pour la première fois, le nombre de patients en réanimation en France diminue
237	(4, 9, 2020)	"Coronavirus: ""une stabilisation du nombre de patients en réanimation"" observée dans les Hauts-de-France"
238	(4, 9, 2020)	Coronavirus: 799 morts de plus dans l'Etat de New York en une journée, un nouveau record
239	(4, 9, 2020)	Coronavirus: des chercheurs sud-coréens observent une résurgence du virus chez 51 personnes guéries
240	(4, 9, 2020)	Etats-Unis: pourquoi les Afro-Américains sont lourdement touchés par le coronavirus
241	(4, 9, 2020)	Coronavirus: 881 morts supplémentaires enregistrés ces dernières 24H au Royaume-Uni
242	(4, 9, 2020)	Coronavirus: pour la première fois, le nombre de patients en réanimation baisse légèrement en Île-de-France
243	(4, 9, 2020)	Ils viennent à Cannes en jet privé: 10 vacanciers arrivant de Londres refoulés
244	(4, 9, 2020)	Coronavirus: la région Auvergne-Rhône-Alpes mobilises ses 9000 élèves infirmiers et aides-soignants
245	(4, 9, 2020)	Morgue provisoire de Rungis: Castaner demande un contrôle sur les frais facturés aux familles
246	(4, 9, 2020)	Castaner demande que le covid-19 soit reconnu comme maladie professionnelle pour les policiers
247	(4, 9, 2020)	Une méduse tentaculaire de plusieurs dizaines de mètres repérée au large des côtes australiennes
248	(4, 9, 2020)	Violences sur les enfants: le nombre d'appels au 119 en hausse de 20% depuis le début du confinement
249	(4, 9, 2020)	Coronavirus: Emmanuel Macron en visite à l'hôpital du Kremlin-Bicêtre
250	(4, 9, 2020)	Dix mois de suite plus chauds que la normale ont été enregistrés en France, une première
251	(4, 9, 2020)	Coronavirus: les entreprises qui donnent du matériel de protection auront droit à une déduction de TVA
252	(4, 9, 2020)	Chômage: les salariés ayant démissionné pour un nouvel emploi indemnisés si leur promesse d'embauche n'est pas tenue
253	(4, 9, 2020)	Sécurité renforcée autour des bureaux de poste pour le versement des prestations sociales
254	(4, 8, 2020)	Seine-Saint-Denis: lancement d'un Salon du livre jeunesse virtuel
255	(4, 8, 2020)	Italie: un pont de 300m s'effondre en plein confinement et fait un blessé léger
256	(4, 8, 2020)	Marseille: deux rorquals observés au large des calanques
257	(4, 8, 2020)	Coronavirus: les masques obligatoires à Nice dès le début du déconfinement
258	(4, 8, 2020)	Coronavirus: le nombre de personnes hospitalisées dans le Rhône poursuit sa légère baisse
259	(4, 8, 2020)	Coronavirus: le nombre de personnes en réanimation en légère baisse dans les Hauts-de-France
260	(4, 8, 2020)	Coronavirus: la ville où hommes et femmes ont leurs jours de courses
261	(4, 8, 2020)	Coronavirus: Emmanuel Macron s'exprimera devant les Français lundi soir
262	(4, 8, 2020)	Coronavirus: 542 morts en 24 heures en Italie, les patients en réanimation toujours moins nombreux
263	(4, 8, 2020)	Coronavirus: 228 morts supplémentaires en 24h dans les hôpitaux d'Île-de-France
264	(4, 8, 2020)	"""La campagne se termine, la lutte continue"": Sanders se retire de la course à la présidentielle américaine"
265	(4, 8, 2020)	 Romans-sur-Isère: l'auteur de l'attaque au couteau mis en examen
266	(4, 8, 2020)	Mort de l'ancien ministre de l'Intérieur Christian Bonnet
267	(4, 8, 2020)	Les chats peuvent être vecteurs du coronavirus s'ils sont touchés par des malades
268	(4, 8, 2020)	Reporté à cause du confinement, le prochain roman de Guillaume Musso devrait sortir le 26 mai
269	(4, 8, 2020)	Coronavirus: les résultats de l'essai Discovery ne seront pas disponibles avant la fin du mois d'avril
270	(4, 8, 2020)	Le directeur de l'ARS Grand Est limogé après ses propos sur l'hôpital de Nancy
271	(4, 8, 2020)	Le Nord et le Pas-de-Calais touchés par un épisode de pollution aux particules fines
272	(4, 8, 2020)	L'Espagne recense 757 morts en 24 heures, deuxième jour consécutif de hausse
273	(4, 8, 2020)	Hong Kong: au calme dans un zoo déserté à cause du coronavirus, deux pandas s’accouplent enfin
274	(4, 8, 2020)	Marseille: il séquestre son ex-compagne et la viole
275	(4, 8, 2020)	Lyon: les voisins d'un centenaire confiné célèbrent son anniversaire au balcon
276	(4, 8, 2020)	Quand sortir du confinement? Les 3 conditions listées par le Conseil scientifique
